"","year","UKPRN","Institution","cah","Subject","Level","QuestionNumber","A1","A2","A3","A4","A5","N/A","Confidence interval - min","Actual value","Confidence interval - max","Response","Sample Size","Positivity measure (%)","Benchmark (%)","Difference (ppt)","Standard deviation","Contribution to benchmark (%)","Materially below benchmark (%)","Broadly in line with benchmark (%)","Materially above benchmark (%)","Publication response headcount","Publication response rate (%)","theme","q","question","ans_sd","ans_d","ans_n","ans_a","ans_sa","r","tm","ucl","ucl_all","rzall","ucl_comp"
"11",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q11","0%","1%","5%","43%","51%",0,"86%","93%","97%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","contact","I have been able to contact staff when I needed to.",0,1,5,43,51,0.72,TRUE,FALSE,"All other",0.86967368384903,TRUE
"12",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q12","0%","6%","17%","44%","32%",1,"66%","76%","84%",107,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","choices","Good advice was available when I needed to make study choices.",0,6,17,44,32,0.51,TRUE,FALSE,"All other",0.215470057272654,TRUE
"13",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q13","2%","5%","5%","36%","51%",0,"79%","88%","93%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","timetable","The timetable works efficiently as far as my activities are concerned.",2,5,5,36,51,0.645,TRUE,FALSE,"All other",0.234320251738148,TRUE
"14",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q14","0%","2%","6%","41%","50%",1,"83%","91%","96%",107,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","comms","Any changes in the course or teaching have been communicated effectively.",0,2,6,41,50,0.695,TRUE,FALSE,"All other",0.832483402239848,TRUE
"15",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q15","0%","1%","1%","43%","54%",0,"91%","97%","99%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","organised","The course is well organised and is running smoothly.",0,1,1,43,54,0.75,TRUE,FALSE,"All other",1.27818693566908,TRUE
"16",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q16","4%","10%","10%","51%","25%",0,"66%","76%","84%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resource","library","The library resources and services are good enough for my needs.",4,10,10,51,25,0.415,TRUE,FALSE,"All other",-1.14390279600689,TRUE
"17",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q17","1%","5%","10%","43%","40%",1,"74%","84%","90%",107,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resource","IT","I have been able to access general IT resources when I needed to.",1,5,10,43,40,0.58,TRUE,FALSE,"All other",-0.286812484315756,TRUE
"18",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q18","2%","5%","17%","40%","35%",4,"65%","76%","84%",104,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resource","access","I have been able to access specialised equipment, facilities or room when I needed to.",2,5,17,40,35,0.505,TRUE,FALSE,"All other",-0.634684670938418,TRUE
"19",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q19","0%","2%","21%","44%","32%",1,"66%","76%","84%",107,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"personal","confidence","The course has helped me present myself with confidence.",0,2,21,44,32,0.53,FALSE,FALSE,"All other",-0.00536369391933878,TRUE
"20",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q20","0%","4%","18%","36%","41%",1,"67%","77%","85%",107,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"personal","commskill","My communication skills have improved.",0,4,18,36,41,0.57,FALSE,FALSE,"All other",-0.423239725327071,TRUE
"21",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q21","1%","0%","17%","45%","36%",1,"72%","81%","88%",107,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"personal","problemsolve","As a result of the course, I feel confident in tackling unfamiliar problems.",1,0,17,45,36,0.575,FALSE,FALSE,"All other",0.285270044101275,TRUE
"22",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q22","0%","4%","10%","34%","52%",0,"77%","86%","92%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"overall","satisfied","Overall, I am satisfied with the quality of the course.",0,4,10,34,52,0.67,FALSE,FALSE,"All other",0.579133425056055,TRUE
"23",2014,10007167,"University of York","","(07) Psychology","First degree","Q01","1%","1%","2%","58%","39%",0,"91%","97%","99%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","explain","Staff are good at explaining things.",1,1,2,58,39,0.665,TRUE,FALSE,"All other",0.958094636983056,TRUE
"24",2014,10007167,"University of York","","(07) Psychology","First degree","Q02","1%","1%","2%","56%","40%",0,"91%","97%","99%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","interest","Staff have made the subject interesting.",1,1,2,56,40,0.665,TRUE,FALSE,"All other",1.39384683085215,TRUE
"25",2014,10007167,"University of York","","(07) Psychology","First degree","Q03","1%","0%","2%","32%","66%",0,"92%","97%","99%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","enthusiastic","Staff are enthusiastic about what they are teaching.",1,0,2,32,66,0.81,TRUE,FALSE,"All other",1.855639256034,TRUE
"26",2014,10007167,"University of York","","(07) Psychology","First degree","Q04","1%","0%","3%","34%","61%",0,"90%","96%","98%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","stimulating","The course is intellectually stimulating.",1,0,3,34,61,0.77,TRUE,FALSE,"All other",1.41173831897324,TRUE
"27",2014,10007167,"University of York","","(07) Psychology","First degree","Q05","2%","3%","6%","48%","41%",0,"81%","89%","94%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","clear","The criteria used in marking have been clear in advance.",2,3,6,48,41,0.615,TRUE,FALSE,"All other",1.15131583625825,TRUE
"28",2014,10007167,"University of York","","(07) Psychology","First degree","Q06","2%","5%","13%","50%","30%",0,"72%","81%","87%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","fair","Assessment arrangements and marking have been fair.",2,5,13,50,30,0.505,TRUE,FALSE,"All other",0.568663849549056,TRUE
"29",2014,10007167,"University of York","","(07) Psychology","First degree","Q07","3%","11%","13%","40%","34%",0,"64%","74%","82%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","timely","Feedback on my work has been prompt.",3,11,13,40,34,0.455,TRUE,FALSE,"All other",0.57850723115362,TRUE
"30",2014,10007167,"University of York","","(07) Psychology","First degree","Q08","3%","13%","18%","45%","19%",0,"55%","65%","73%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","detailed","I have received detailed comments on my work.",3,13,18,45,19,0.32,TRUE,FALSE,"All other",-0.135946139105516,TRUE
"31",2014,10007167,"University of York","","(07) Psychology","First degree","Q09","4%","13%","22%","41%","20%",0,"51%","61%","70%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","helpful","Feedback on my work has helped me clarify things I did not understand.",4,13,22,41,20,0.3,TRUE,FALSE,"All other",0.113164990143263,TRUE
"32",2014,10007167,"University of York","","(07) Psychology","First degree","Q10","3%","4%","5%","37%","50%",0,"79%","87%","93%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","support","I have received sufficient advice and support with my studies.",3,4,5,37,50,0.635,TRUE,FALSE,"All other",1.44074532712132,TRUE
"33",2014,10007167,"University of York","","(07) Psychology","First degree","Q11","0%","2%","6%","29%","63%",0,"85%","92%","96%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","contact","I have been able to contact staff when I needed to.",0,2,6,29,63,0.765,TRUE,FALSE,"All other",1.26838003243618,TRUE
"34",2014,10007167,"University of York","","(07) Psychology","First degree","Q12","3%","4%","10%","41%","42%",1,"74%","83%","89%",118,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","choices","Good advice was available when I needed to make study choices.",3,4,10,41,42,0.575,TRUE,FALSE,"All other",0.779390042147948,TRUE
"35",2014,10007167,"University of York","","(07) Psychology","First degree","Q13","1%","4%","5%","25%","65%",0,"82%","90%","94%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","timetable","The timetable works efficiently as far as my activities are concerned.",1,4,5,25,65,0.745,TRUE,FALSE,"All other",0.996642137392923,TRUE
"36",2014,10007167,"University of York","","(07) Psychology","First degree","Q14","1%","1%","8%","21%","70%",0,"83%","91%","95%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","comms","Any changes in the course or teaching have been communicated effectively.",1,1,8,21,70,0.79,TRUE,FALSE,"All other",1.42751779212328,TRUE
"37",2014,10007167,"University of York","","(07) Psychology","First degree","Q15","0%","3%","4%","28%","65%",0,"85%","92%","96%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","organised","The course is well organised and is running smoothly.",0,3,4,28,65,0.775,TRUE,FALSE,"All other",1.41799221283569,TRUE
"38",2014,10007167,"University of York","","(07) Psychology","First degree","Q16","0%","6%","3%","41%","50%",0,"83%","91%","95%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resource","library","The library resources and services are good enough for my needs.",0,6,3,41,50,0.675,TRUE,FALSE,"All other",0.432317737847957,TRUE
"39",2014,10007167,"University of York","","(07) Psychology","First degree","Q17","0%","2%","4%","36%","58%",0,"88%","94%","97%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resource","IT","I have been able to access general IT resources when I needed to.",0,2,4,36,58,0.75,TRUE,FALSE,"All other",0.845155341508942,TRUE
"40",2014,10007167,"University of York","","(07) Psychology","First degree","Q18","1%","3%","7%","35%","55%",4,"82%","90%","94%",115,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resource","access","I have been able to access specialised equipment, facilities or room when I needed to.",1,3,7,35,55,0.7,TRUE,FALSE,"All other",0.666966046443044,TRUE
"41",2014,10007167,"University of York","","(07) Psychology","First degree","Q19","1%","3%","6%","39%","50%",0,"82%","90%","94%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"personal","confidence","The course has helped me present myself with confidence.",1,3,6,39,50,0.67,FALSE,FALSE,"All other",1.40405003134711,TRUE
"42",2014,10007167,"University of York","","(07) Psychology","First degree","Q20","0%","3%","8%","30%","60%",0,"82%","90%","94%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"personal","commskill","My communication skills have improved.",0,3,8,30,60,0.735,FALSE,FALSE,"All other",1.31372575292654,TRUE
"43",2014,10007167,"University of York","","(07) Psychology","First degree","Q21","1%","2%","10%","47%","40%",0,"79%","87%","93%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"personal","problemsolve","As a result of the course, I feel confident in tackling unfamiliar problems.",1,2,10,47,40,0.615,FALSE,FALSE,"All other",0.71034418615142,TRUE
"44",2014,10007167,"University of York","","(07) Psychology","First degree","Q22","0%","3%","3%","27%","66%",0,"86%","93%","97%",119,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"overall","satisfied","Overall, I am satisfied with the quality of the course.",0,3,3,27,66,0.78,FALSE,FALSE,"All other",1.47400625916685,TRUE
"45",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q01","0%","5%","8%","63%","24%",0,"71%","87%","95%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","explain","Staff are good at explaining things.",0,5,8,63,24,0.53,TRUE,FALSE,"All other",-0.685636474590999,TRUE
"46",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q02","0%","5%","12%","54%","29%",0,"66%","83%","92%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","interest","Staff have made the subject interesting.",0,5,12,54,29,0.535,TRUE,FALSE,"All other",0.0524384123257492,TRUE
"47",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q03","3%","3%","9%","41%","45%",0,"69%","86%","94%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","enthusiastic","Staff are enthusiastic about what they are teaching.",3,3,9,41,45,0.61,TRUE,FALSE,"All other",-0.283123041898433,TRUE
"48",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q04","0%","0%","0%","20%","80%",0,"89%","100%","100%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","stimulating","The course is intellectually stimulating.",0,0,0,20,80,0.9,TRUE,FALSE,"All other",2.69117658976841,TRUE
"49",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q05","9%","21%","26%","29%","14%",0,"28%","43%","61%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","clear","The criteria used in marking have been clear in advance.",9,21,26,29,14,0.09,TRUE,FALSE,"All other",-2.86950092013983,TRUE
"50",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q06","1%","5%","13%","53%","28%",0,"63%","80%","91%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","fair","Assessment arrangements and marking have been fair.",1,5,13,53,28,0.51,TRUE,FALSE,"All other",0.611148227776236,TRUE
"51",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q07","8%","9%","14%","46%","22%",0,"51%","68%","82%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","timely","Feedback on my work has been prompt.",8,9,14,46,22,0.325,TRUE,FALSE,"All other",-0.078501339279349,TRUE
"52",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q08","9%","8%","17%","38%","28%",0,"48%","66%","80%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","detailed","I have received detailed comments on my work.",9,8,17,38,28,0.34,TRUE,FALSE,"All other",-0.018941349187541,TRUE
"53",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q09","5%","9%","11%","53%","22%",0,"58%","75%","87%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","helpful","Feedback on my work has helped me clarify things I did not understand.",5,9,11,53,22,0.39,TRUE,FALSE,"All other",0.692443121505981,TRUE
"54",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q10","3%","9%","21%","42%","25%",0,"50%","67%","81%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","support","I have received sufficient advice and support with my studies.",3,9,21,42,25,0.385,TRUE,FALSE,"All other",-0.846152017515693,TRUE
"55",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q11","3%","3%","8%","42%","45%",0,"71%","87%","95%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","contact","I have been able to contact staff when I needed to.",3,3,8,42,45,0.615,TRUE,FALSE,"All other",-0.0606411295209969,TRUE
"56",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q12","3%","3%","21%","41%","33%",0,"56%","74%","86%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","choices","Good advice was available when I needed to make study choices.",3,3,21,41,33,0.49,TRUE,FALSE,"All other",0.0419562157725628,TRUE
"57",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q13","0%","3%","8%","38%","51%",0,"74%","89%","96%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","timetable","The timetable works efficiently as far as my activities are concerned.",0,3,8,38,51,0.685,TRUE,FALSE,"All other",0.539249006000059,TRUE
"58",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q14","1%","5%","9%","42%","42%",0,"68%","84%","93%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","comms","Any changes in the course or teaching have been communicated effectively.",1,5,9,42,42,0.595,TRUE,FALSE,"All other",0.206131412888868,TRUE
"59",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q15","3%","7%","13%","47%","30%",0,"60%","78%","89%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","organised","The course is well organised and is running smoothly.",3,7,13,47,30,0.47,TRUE,FALSE,"All other",-0.287632168596862,TRUE
"60",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q16","0%","0%","4%","12%","84%",0,"83%","96%","99%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resource","library","The library resources and services are good enough for my needs.",0,0,4,12,84,0.9,TRUE,FALSE,"All other",1.79635473829927,TRUE
"61",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q17","0%","1%","4%","13%","82%",0,"81%","95%","99%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resource","IT","I have been able to access general IT resources when I needed to.",0,1,4,13,82,0.88,TRUE,FALSE,"All other",1.71077779655136,TRUE
"62",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q18","3%","3%","13%","14%","67%",4,"63%","81%","91%",42,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resource","access","I have been able to access specialised equipment, facilities or room when I needed to.",3,3,13,14,67,0.695,TRUE,FALSE,"All other",0.633590387023006,TRUE
"63",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q19","5%","8%","18%","36%","33%",0,"51%","68%","82%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"personal","confidence","The course has helped me present myself with confidence.",5,8,18,36,33,0.42,FALSE,FALSE,"All other",-1.11276019234297,TRUE
"64",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q20","0%","3%","16%","37%","45%",0,"65%","82%","91%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"personal","commskill","My communication skills have improved.",0,3,16,37,45,0.62,FALSE,FALSE,"All other",0.103113449901295,TRUE
"65",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q21","0%","3%","18%","32%","47%",0,"62%","79%","90%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"personal","problemsolve","As a result of the course, I feel confident in tackling unfamiliar problems.",0,3,18,32,47,0.615,FALSE,FALSE,"All other",0.71034418615142,TRUE
"66",2014,10007774,"University of Oxford","","(07) Psychology","First degree","Q22","3%","3%","5%","47%","42%",0,"74%","89%","96%",46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"overall","satisfied","Overall, I am satisfied with the quality of the course.",3,3,5,47,42,0.61,FALSE,FALSE,"All other",0.0910209700865302,TRUE
"67",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q01","2%","2%","14%","66%","15%",0,"65%","81%","91%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","explain","Staff are good at explaining things.",2,2,14,66,15,0.45,TRUE,FALSE,"All other",-1.65969935552377,TRUE
"68",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q02","2%","0%","29%","52%","16%",0,"51%","68%","81%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","interest","Staff have made the subject interesting.",2,0,29,52,16,0.4,TRUE,FALSE,"All other",-1.34056263768244,TRUE
"69",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q03","2%","1%","7%","60%","30%",0,"75%","90%","96%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","enthusiastic","Staff are enthusiastic about what they are teaching.",2,1,7,60,30,0.575,TRUE,FALSE,"All other",-0.657406444036609,TRUE
"70",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q04","2%","3%","13%","52%","29%",0,"66%","82%","91%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","stimulating","The course is intellectually stimulating.",2,3,13,52,29,0.515,TRUE,FALSE,"All other",-1.09792905835576,TRUE
"71",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q05","2%","13%","25%","43%","17%",0,"44%","60%","75%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","clear","The criteria used in marking have been clear in advance.",2,13,25,43,17,0.3,TRUE,FALSE,"All other",-1.2611742175806,TRUE
"72",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q06","5%","8%","27%","47%","13%",0,"44%","60%","75%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","fair","Assessment arrangements and marking have been fair.",5,8,27,47,13,0.275,TRUE,FALSE,"All other",-1.38561754890122,TRUE
"73",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q07","5%","13%","22%","48%","12%",0,"43%","60%","74%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","timely","Feedback on my work has been prompt.",5,13,22,48,12,0.245,TRUE,FALSE,"All other",-0.482814305699637,TRUE
"74",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q08","2%","13%","27%","44%","13%",0,"41%","58%","73%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","detailed","I have received detailed comments on my work.",2,13,27,44,13,0.265,TRUE,FALSE,"All other",-0.457709311379948,TRUE
"75",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q09","3%","15%","24%","48%","10%",0,"41%","58%","73%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","helpful","Feedback on my work has helped me clarify things I did not understand.",3,15,24,48,10,0.235,TRUE,FALSE,"All other",-0.305202549174256,TRUE
"76",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q10","6%","7%","17%","59%","11%",1,"53%","70%","83%",49,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","support","I have received sufficient advice and support with my studies.",6,7,17,59,11,0.31,TRUE,FALSE,"All other",-1.5322212209068,TRUE
"77",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q11","2%","6%","14%","37%","40%",0,"61%","77%","88%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","contact","I have been able to contact staff when I needed to.",2,6,14,37,40,0.535,TRUE,FALSE,"All other",-0.76945241589816,TRUE
"78",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q12","2%","11%","24%","49%","14%",1,"46%","63%","77%",49,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","choices","Good advice was available when I needed to make study choices.",2,11,24,49,14,0.31,TRUE,FALSE,"All other",-1.51966835772825,TRUE
"79",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q13","3%","7%","10%","35%","44%",0,"63%","79%","90%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","timetable","The timetable works efficiently as far as my activities are concerned.",3,7,10,35,44,0.55,TRUE,FALSE,"All other",-0.489885539633887,TRUE
"80",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q14","10%","10%","6%","37%","38%",0,"58%","75%","86%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","comms","Any changes in the course or teaching have been communicated effectively.",10,10,6,37,38,0.415,TRUE,FALSE,"All other",-0.921302167942898,TRUE
"81",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q15","10%","7%","17%","46%","21%",0,"50%","67%","80%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"management","organised","The course is well organised and is running smoothly.",10,7,17,46,21,0.305,TRUE,FALSE,"All other",-1.21034699789644,TRUE
"82",2014,10007775,"Queen Mary University of London","","(07) Psychology","First degree","Q16","3%","8%","12%","40%","37%",0,"61%","77%","88%",50,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"resource","library","The library resources and services are good enough for my needs.",3,8,12,40,37,0.5,TRUE,FALSE,"All other",-0.628599929169731,TRUE
